CourseID,Name,Provider,SkillID,EnrollmentCount
0,Google Data Analytics,Google,Data Storytelling,164000
0,Google Data Analytics,Google,Rmarkdown,164000
0,Google Data Analytics,Google,Data Visualization,164000
0,Google Data Analytics,Google,Data Presentation,164000
0,Google Data Analytics,Google,Data Ethics,164000
0,Google Data Analytics,Google,Interactive Data Visualization,164000
0,Google Data Analytics,Google,Interviewing Skills,164000
0,Google Data Analytics,Google,Data Cleansing,164000
0,Google Data Analytics,Google,Data Validation,164000
0,Google Data Analytics,Google,Ggplot2,164000
0,Google Data Analytics,Google,Tableau Software,164000
0,Google Data Analytics,Google,Presentations,164000
0,Google Data Analytics,Google,Spreadsheet Software,164000
0,Google Data Analytics,Google,Data Analysis,164000
0,Google Data Analytics,Google,Data Visualization Software,164000
0,Google Data Analytics,Google,Stakeholder Communications,164000
0,Google Data Analytics,Google,Dashboard,164000
0,Google Data Analytics,Google,Sampling (Statistics),164000
0,Google Data Analytics,Google,Analytics,164000
0,Google Data Analytics,Google,Stakeholder Management,164000
1,Google Cybersecurity,Google,Threat Modeling,48000
1,Google Cybersecurity,Google,Open Web Application Security Project (OWASP),48000
1,Google Cybersecurity,Google,Intrusion Detection and Prevention,48000
1,Google Cybersecurity,Google,Security Controls,48000
1,Google Cybersecurity,Google,Vulnerability Management,48000
1,Google Cybersecurity,Google,Incident Response,48000
1,Google Cybersecurity,Google,Computer Security Incident Management,48000
1,Google Cybersecurity,Google,Cyber Threat Intelligence,48000
1,Google Cybersecurity,Google,Vulnerability Assessments,48000
1,Google Cybersecurity,Google,Event Monitoring,48000
1,Google Cybersecurity,Google,Network Security,48000
1,Google Cybersecurity,Google,Security Awareness,48000
1,Google Cybersecurity,Google,Threat Detection,48000
1,Google Cybersecurity,Google,Risk Management,48000
1,Google Cybersecurity,Google,Cybersecurity,48000
1,Google Cybersecurity,Google,Hardening,48000
1,Google Cybersecurity,Google,Bash (Scripting Language),48000
1,Google Cybersecurity,Google,Data Ethics,48000
1,Google Cybersecurity,Google,Linux Commands,48000
1,Google Cybersecurity,Google,Debugging,48000
2,Google Project Management:,Google,Quality Management,125000
2,Google Project Management:,Google,Project Scoping,125000
2,Google Project Management:,Google,Project Closure,125000
